"STOXX_EU_600","DOWJONES_INDUSTRIALS","MSCI_EM","S&P_U.S._TREASURY_BOND","S&P_GSCI_Commodity"
0,0,0,0,0
0.0212272965094551,0.0149880857780351,0.015311888173331,0.00141521211910023,0.0254068662652114
-0.00175656883554132,-0.00112842315223394,0.0107062419012873,0.00260756905370285,0.000993898739333865
-0.000513234108072358,0.00079778191880786,0.00639682029137179,-0.00201333695900363,0.01745728609528
-0.00396126760563376,0.00326652465320398,-0.00717055120498966,-0.000336568433329965,-0.00965337721430459
0.00419796730004407,0.0010688660483138,0.00196245127697448,0.00127456037298934,-6.9090182519771e-05
0.0141547488082141,0.00431318000555536,0.0115226443959684,-0.00010595851537476,-0.00430265382211326
-0.00976280011570718,-0.00344414495357892,-0.00669665951332821,0.00428272842510569,-0.0195586956843005
7.30300153362062e-05,0.00503514602511701,-0.00889443659514944,-0.00271458225086996,-0.00680690730700539
0.00496567839929907,0.00278748647890814,0.00118146273109443,0.00264828048146182,-0.00292375987645987
-0.0164220316814416,-0.00912607244615882,-0.00234884992700057,0.00237389691436296,-0.0139213588485083
0.00790484633569744,0,0.00178303839472238,0,0
0.000732976618045944,0.0109123913660436,0.000856616415978007,-0.000798269256391371,0.00498619618486318
-0.026514319197246,-0.011093872574076,-0.0157071784739439,0.0016592024920874,-0.0147844262459293
-0.0180573320291927,-0.0201141436946456,-0.0162438567509535,0.00206123207574693,-0.0132552735961854
-0.00605317600183886,-0.0208763234581087,-0.0175859238028759,0.00065427768170645,-0.0135164530204169
-0.00454825778600065,0.00234758558777837,-0.00497011702312533,-0.00100437027575695,0.00602207871155125
-0.00255556416014857,-0.000251753502130692,-0.0218847622663687,0.000502263172242889,-0.00901076954809787
-0.00923913043478275,0.00410706675097705,-0.00989042530047579,-0.001178943751726,-0.0154877429541748
-0.0165347543295979,-0.0113037201351364,0.0122775736097409,0.000291880261319655,-0.00447941201509694
0.00517928286852598,-0.00524929375281302,-0.00665106502770418,0.00223244596310734,-0.00796130305496456
0.00586603250099094,0.0117403813607131,0.000693492312212385,-0.00189997048782575,0.0145782445046636
0.0136338560958311,0.0109294523118235,0.00698333163087739,0.000795983484979113,0.028486431183556
-0.0079303374280828,-0.00197737246085516,0.0126446416531516,-0.00219098134637441,-0.00623433127457529
-0.036206896551724,-0.0261292663368017,-0.0270945164945441,0.00449902307904515,-0.0362136101455743
-0.0292730525288666,0.00100445592538212,-0.0309175890606226,0.00152577287999711,-0.022603573857836
0.00829284637292682,-0.00964614001331132,-0.00403293018876327,-0.000251830730091052,0.0089193046344791
0.00365539586275654,0.0151634063253654,0.0163433241497288,-0.00258779460850145,0.0179593435332468
0.00513202549457836,-0.00170633452727875,0.00421041119860033,-0.00219793206324659,0.00627456877107813
