,GaussianCopula,tCopula,ClaytonCopula,HS
501,-0.058203605849435035,-0.06272420251449519,-0.0711389881926078,-0.039444098529695416
502,-0.05556242038229793,-0.056165809924316135,-0.07032185423499603,-0.039444098529695416
503,-0.054835866864507074,-0.05461440880799967,-0.07196432599285531,-0.039444098529695416
504,-0.05422285662864161,-0.05618063293539003,-0.06322169669870276,-0.039444098529695416
505,-0.04828853869143867,-0.05049970876054209,-0.05930737567045708,-0.039444098529695416
506,-0.05158827053891985,-0.052310023815839046,-0.053743033704644116,-0.039444098529695416
507,-0.053921910482659485,-0.04675846052025539,-0.06503598765997937,-0.039444098529695416
508,-0.04839063579866716,-0.04899953574628418,-0.05129365036129496,-0.039444098529695416
509,-0.05398795956594559,-0.05838108263026499,-0.05762273413437103,-0.039444098529695416
510,-0.052450450911830544,-0.05662930859590022,-0.05315989684056171,-0.039444098529695416
511,-0.04564542895981605,-0.04884980045740908,-0.06181501328243085,-0.039444098529695416
512,-0.04554045577614393,-0.05067565012705717,-0.05661995696983555,-0.039444098529695416
513,-0.04629315001334341,-0.05062206544424404,-0.05917151675461654,-0.039444098529695416
514,-0.048917126746932084,-0.05475914477405276,-0.05524148125572058,-0.039444098529695416
515,-0.04997813739244857,-0.050523849855799004,-0.056745002672857855,-0.039444098529695416
516,-0.0481585668930075,-0.0472571416177092,-0.06061553026162682,-0.039444098529695416
517,-0.04588225779434423,-0.04615994510556748,-0.049536493179884795,-0.039444098529695416
518,-0.044260466850875445,-0.04934406153845303,-0.04334464480877042,-0.039444098529695416
519,-0.039425698095754844,-0.04495415620222396,-0.04881725776463967,-0.039444098529695416
520,-0.045003816394785894,-0.05066327028004321,-0.05383857793577757,-0.039444098529695416
521,-0.035547765095702656,-0.046406066518005655,-0.051788771954435424,-0.039444098529695416
522,-0.03673757895933798,-0.04137415205848381,-0.04324449209852454,-0.039444098529695416
523,-0.047214115210477886,-0.047574345371711665,-0.05256253103278318,-0.039444098529695416
524,-0.04844068014938574,-0.04956873567330522,-0.05853131145914441,-0.039444098529695416
525,-0.04038237435656277,-0.04540271709718146,-0.054917116743345075,-0.039444098529695416
526,-0.036099814009650205,-0.04093073586054224,-0.04586549314847869,-0.039444098529695416
527,-0.03407920438677937,-0.04528990376482661,-0.0456056883010645,-0.039444098529695416
528,-0.03657630259973227,-0.04122088466513038,-0.045165361657259116,-0.039444098529695416
529,-0.03661515589469531,-0.039653480834242756,-0.044151508442763415,-0.039444098529695416
530,-0.034941759053362643,-0.03490533425888269,-0.04581378409943449,-0.039444098529695416
531,-0.03738522385088583,-0.042425849422846135,-0.04035105177830531,-0.039444098529695416
